cat,name,sel_year,year_of_i_intake,title,code,role,uni,country,city,lon,lat,status,website,ongoing2015_2017,xmin_,ymin,xmax_,ymax
EMJMD,Erasmus Mundus Joint Masters Degree,2017,,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Full Partner,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Mexico,Puebla,-98.33305,19.0403422,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJD,Erasmus Mundus Joint Doctorates,2009,2010,Cultural Studies in Literary Interzones,INTERZONES,Full Partner,EBERHARD KARLS UNIVERSITÄT TÜBINGEN,Germany,Tübingen,9.05222,48.52266,,http://www.mundusphd-interzones.eu/,,-44.0802153,-23.9226446,10.6773,54.8007554
EMJMD,Erasmus Mundus Master Courses,2005,2005,MASTER MUNDUS: CROSSWAYS IN EUROPEAN HUMANITIES,Crossways,Full Partner,EBERHARD KARLS UNIVERSITÄT TÜBINGEN,Germany,Tübingen,9.05222,48.52266,,http://crossways.univ-perp.fr/,,-10.13333,37.71667,10.6773,57.33871
EMJMD,Erasmus Mundus Master Courses,2005,2005,"Master International Vintage, Vine, Wine and Terroir management",VINTAGE,Full Partner,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,Italy,Bologna,11.3426163,44.494887,,http://www.vintagemaster.com/,,-71.76991,-34.9321045,27.024,48.497912
EMJMD,Erasmus Mundus Master Courses,2009,2010,"Master International Vintage, Vine, Wine and Terroir management",VINTAGE,Full Partner,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,Italy,Bologna,11.3426163,44.494887,,http://www.vintagemaster.com/,,-71.76991,-34.9321045,27.024,48.497912
EMJMD,Erasmus Mundus Joint Masters Degree,2017,,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Full Partner,UNIVERSIDAD DE OVIEDO,Spain,Oviedo,-5.8494,43.3619,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJMD,Erasmus Mundus Joint Masters Degree,2017,,Crossways in Cultural Narratives,CWCN,Full Partner,UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,Argentina,Buenos Aires,-58.381592,-34.603722,,http://www.munduscrossways.eu/,1,-81.2481666,-59.50335,49.52266,57.33871
EMJD,Erasmus Mundus Joint Doctorates,2009,2010,International Relativistic Astrophysics Doctorate Program,IRAP,Full Partner,INDIAN CENTRE FOR SPACE PHYSICS,India,Kolkata,88.088,22.6761144,,http://www.irap-phd.eu/,,-44.5,-23.9108558,122.45806,60.3293235
EMJMD,Erasmus Mundus Master Courses,2006,2006,Sustainable Development in Agriculture Masters Course,AGRIS MUNDUS,Full Partner,WAGENINGEN UNIVERSITEIT,Netherlands,Wageningen,5.6654,51.9692,,http://www.agrismundus.eu/,,-9.4863,36.5078772,16.0830304,56.67594
EMJMD,Erasmus Mundus Master Courses,2010,2011,Sustainable Development in Agriculture Masters Course,AGRIS MUNDUS,Full Partner,WAGENINGEN UNIVERSITEIT,Netherlands,Wageningen,5.6654,51.9692,,http://www.agrismundus.eu/,,-9.4863,36.5078772,16.0830304,56.67594
EMJMD,Erasmus Mundus Master Courses,2004,2004,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Full Partner,RUHR-UNIVERSITÄT BOCHUM,Germany,Bochum,7.21648,51.48165,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
EMJMD,Erasmus Mundus Master Courses,2009,2010,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Full Partner,RUHR-UNIVERSITÄT BOCHUM,Germany,Bochum,7.21648,51.48165,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
EMJMD,Erasmus Mundus Master Courses,2004,2004,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Full Partner,UNIVERSITY COLLEGE DUBLIN,Ireland,Dublin,-6.2676448,53.3386609,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
EMJMD,Erasmus Mundus Master Courses,2009,2010,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Full Partner,UNIVERSITY COLLEGE DUBLIN,Ireland,Dublin,-6.2676448,53.3386609,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
EMJMD,Erasmus Mundus Joint Masters Degree,2017,,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Full Partner,UNIVERSIDADE TECHNOLOGICA FEDERAL DI PARATA,Brasil,Curitiba,-49.203571,-25.531836,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJMD,Erasmus Mundus Joint Masters Degree,2017,,Crossways in Cultural Narratives,CWCN,Full Partner,EBERHARD KARLS UNIVERSITÄT TÜBINGEN,Germany,Tübingen,9.05222,48.52266,,http://www.munduscrossways.eu/,1,-81.2481666,-59.50335,49.52266,57.33871
EMJMD,Erasmus Mundus Master Courses,2005,2005,Master of Science course in Geo-Information Science and Earth Observation for Environmental Modelling and Management,GEM,Full Partner,UNIWERSYTET WARSZAWSKI,Poland,Warsaw,21.017532,52.237049,,http://www.gem-msc.org/,,-22.922481,49.9097004,22.0122287,65.1323387
EMJMD,Erasmus Mundus Master Courses,2010,2011,Master of Science course in Geo-Information Science and Earth Observation for Environmental Modelling and Management,GEM,Full Partner,UNIWERSYTET WARSZAWSKI,Poland,Warsaw,21.017532,52.237049,,http://www.gem-msc.org/,,-22.922481,49.9097004,22.0122287,65.1323387
EMJMD,Erasmus Mundus Master Courses,2008,2008,EMARO - European Master on Advanced Robotics,EMARO,Full Partner,POLITECHNIKA WARSZAWSKA,Poland,Warsaw,21.017532,52.237049,,http://emaro.irccyn.ec-nantes.fr/index.php/welcome,,-2.553621,13.0725146,140.6917,53.2296756
EMJMD,Erasmus Mundus Master Courses,2011,2012,Erasmus Mundus Master Course Sustainable Animal Nutrition and Feeding,EM-SANF,Coordinator,WAGENINGEN UNIVERSITEIT,Netherlands,Wageningen,5.6654,51.9692,,http://www.emsanf.eu/UK/,,0.4442,42.6047,22.6273,57.1629
EMJMD,Erasmus Mundus Master Courses,2004,2004,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Full Partner,RIJKSUNIVERSITEIT GRONINGEN,Netherlands,Groningen,6.5665018,53.2193835,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
EMJMD,Erasmus Mundus Master Courses,2012,2013,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Full Partner,UNIVERSIDADE DE ÉVORA,Portugal,Évora,-7.83333,38.58333,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJMD,Erasmus Mundus Master Courses,2012,2013,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Full Partner,UNIVERSITÀ DI PADOVA,Italy,Padova,11.8767611,45.4064349,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJMD,Erasmus Mundus Master Courses,2007,2007,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Full Partner,UNIVERSITÀ DI PADOVA,Italy,Padova,11.8767611,45.4064349,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJMD,Erasmus Mundus Master Courses,2007,2007,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Coordinator,UNIVERSITE PARIS I PANTHEON-SORBONNE,France,Paris,2.3522219,48.856614,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJMD,Erasmus Mundus Master Courses,2011,2012,ERASMUS MUNDUS MASTER IN WATER AND COASTAL MANAGEMENT,WACOMA,Full Partner,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,Italy,Bologna,11.3426163,44.494887,,"http://erasmusmundus.uca.es/en/content,3,erasmus-mundus",1,-8.930834,35.5270612,12.3426163,45.494887
EMJMD,Erasmus Mundus Master Courses,2012,2013,"Techniques, Patrimoine, Territoires de l´Industrie",TPTI,Coordinator,UNIVERSITE PARIS I PANTHEON-SORBONNE,France,Paris,2.3522219,48.856614,,http://www.tpti.eu/,1,-99.33305,-50.42988,15.4378005,51.0755381
EMJMD,Erasmus Mundus Master Courses,2004,2004,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Coordinator,UNIVERSIDAD DE DEUSTO,Spain,Bilbao,-2.9349852,43.2630126,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
EMJMD,Erasmus Mundus Master Courses,2004,2004,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Full Partner,UNIVERSITE D'AIX MARSEILLE,France,Marseille,5.36978,43.296482,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
EMJMD,Erasmus Mundus Master Courses,2011,2012,ERASMUS MUNDUS MASTER IN WATER AND COASTAL MANAGEMENT,WACOMA,Full Partner,UNIVERSIDADE DO ALGARVE,Portugal,Algarve,-7.930834,37.0179538,,"http://erasmusmundus.uca.es/en/content,3,erasmus-mundus",1,-8.930834,35.5270612,12.3426163,45.494887
EMJMD,Erasmus Mundus Joint Masters Degrees,2017,,TEMA+ European Territories: Heritage and Development ,TEMA+,Coordinator,EOTVOS LORAND TUDOMANYEGYETEM,Hungary,Budapest,19.040235,47.497912,,https://mastertema.eu/,1,-72.21454,36.5078772,20.040235,51.0755381
EMJMD,Erasmus Mundus Joint Masters Degree,2017,,Mundus Joint Master´s Degree Program in International Humanitarian Action,NOHA,Full Partner,UNIVERSITA TA MALTA,Malta,Malta,14.23,35.9444283,,http://www.nohanet.org/,1,-7.2676448,-8.7713794,111.3753,60.8585638
